KO	cefoperazone-pretreated	clindamycin-pretreated	streptomycin-pretreated	ex-germfree	gene_name	CD630_genes	pathways	enzymatic_reactions	chemical_formulas
K02304	0	1	0	0	precorrin-2_dehydrogenase_/_sirohydrochlorin_ferrochelatase_[EC:1.3.1.76_4.99.1.4]	cdf:CD630_34180	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R02864,R03947	C05778=>C00748,C05778<=>C00748,C00748<=>C05778,C02463=>C05778,C02463<=>C05778
K02313	17	13	5	4	chromosomal_replication_initiator_protein	cdf:CD630_00010	Two-component_system,Cell_cycle_-_Caulobacter	NA	NA
K02314	27	21	18	5	replicative_DNA_helicase_[EC:3.6.4.12]	cdf:CD630_36570	DNA_replication,Cell_cycle_-_Caulobacter	NA	NA
K02315	21	16	36	1	DNA_replication_protein_DnaC	cdf:CD630_36540	NA	NA	NA
K02335	3	4	5	1	DNA_polymerase_I_[EC:2.7.7.7]	cdf:CD630_11280	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways,DNA_replication,Base_excision_repair,Nucleotide_excision_repair,Homologous_recombination	R00375,R00376,R00377,R00378	C00131<=>C00039,C00039<=>C00131,C00286<=>C00039,C00458<=>C00039,C00459<=>C00039
K02337	9	6	7	2	DNA_polymerase_III_subunit_alpha_[EC:2.7.7.7]	cdf:CD630_33960	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways,DNA_replication,Mismatch_repair,Homologous_recombination	R00375,R00376,R00377,R00378	C00131<=>C00039,C00039<=>C00131,C00286<=>C00039,C00458<=>C00039,C00459<=>C00039
K02340	3	2	2	1	DNA_polymerase_III_subunit_delta_[EC:2.7.7.7]	cdf:CD630_24740	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways,DNA_replication,Mismatch_repair,Homologous_recombination	R00375,R00376,R00377,R00378	C00131<=>C00039,C00039<=>C00131,C00286<=>C00039,C00458<=>C00039,C00459<=>C00039
K02341	4	5	5	1	DNA_polymerase_III_subunit_delta'_[EC:2.7.7.7]	cdf:CD630_35490	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways,DNA_replication,Mismatch_repair,Homologous_recombination	R00375,R00376,R00377,R00378	C00131<=>C00039,C00039<=>C00131,C00286<=>C00039,C00458<=>C00039,C00459<=>C00039
K02342	3	5	3	0	DNA_polymerase_III_subunit_epsilon_[EC:2.7.7.7]	cdf:CD630_23940	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways,DNA_replication,Mismatch_repair,Homologous_recombination	R00375,R00376,R00377,R00378	C00131<=>C00039,C00039<=>C00131,C00286<=>C00039,C00458<=>C00039,C00459<=>C00039
K02343	12	9	7	1	DNA_polymerase_III_subunit_gamma/tau_[EC:2.7.7.7]	cdf:CD630_00160	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways,DNA_replication,Mismatch_repair,Homologous_recombination	R00375,R00376,R00377,R00378	C00131<=>C00039,C00039<=>C00131,C00286<=>C00039,C00458<=>C00039,C00459<=>C00039
K02346	2	2	1	0	DNA_polymerase_IV_[EC:2.7.7.7]	cdf:CD630_08990	NA	NA	NA
K02348	1	2	4	0	ElaA_protein	cdf:CD630_15190	NA	NA	NA
K02355	180	136	57	531	elongation_factor_G	cdf:CD630_00700	NA	NA	NA
K02356	42	40	32	78	elongation_factor_P	cdf:CD630_12460	NA	NA	NA
K02357	61	39	18	75	elongation_factor_Ts	cdf:CD630_21390	NA	NA	NA
K02358	285	226	196	1603	elongation_factor_Tu	cdf:CD630_00580,cdf:CD630_00710	Plant-pathogen_interaction	NA	NA
K02371	34	16	6	2	enoyl-[acyl-carrier_protein]_reductase_II_[EC:1.3.1.-]	cdf:CD630_11800	Fatty_acid_biosynthesis,Metabolic_pathways,Fatty_acid_metabolism	R04429,R04724,R04955,R04958,R04961,R04966,R04969,R07765	C04246<=>C05745,C04246=>C05745,C05758<=>C05223,C05758=>C05223,C05748<=>C05749,C05748=>C05749,C05751<=>C05752,C05751=>C05752,C05754<=>C05755,C05754=>C05755,C05760<=>C05761,C05760=>C05761,C05763<=>C05764,C05763=>C05764,C16221<=>C04088,C16221=>C04088
K02372	11	12	12	2	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_[EC:4.2.1.59]	cdf:CD630_01280	Fatty_acid_biosynthesis,Biotin_metabolism,Metabolic_pathways,Fatty_acid_metabolism	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07764,R10117,R10121	C04618<=>C04246,C04618=>C04246,C04619<=>C05754,C04619=>C05754,C04620<=>C05751,C04620=>C05751,C04633<=>C05763,C04633=>C05763,C04688<=>C05760,C04688=>C05760,C05747<=>C05748,C05747=>C05748,C05757<=>C05758,C05757=>C05758,C16220<=>C16221,C16220=>C16221,C20373=>C20374,C20373<=>C20374,C20377=>C20378
K02379	10	12	15	0	FdhD_protein	cdf:CD630_33160	NA	NA	NA
K02385	16	18	7	2	flagellar_protein_FlbD	cdf:CD630_02551	NA	NA	NA
K02387	13	17	11	3	flagellar_basal-body_rod_protein_FlgB	cdf:CD630_02450	Flagellar_assembly	NA	NA
K02388	15	20	12	3	flagellar_basal-body_rod_protein_FlgC	cdf:CD630_02460	Flagellar_assembly	NA	NA
K02389	20	18	5	3	flagellar_basal-body_rod_modification_protein_FlgD	cdf:CD630_02540	Flagellar_assembly	NA	NA
K02390	21	23	10	4	flagellar_hook_protein_FlgE	cdf:CD630_02550	Flagellar_assembly	NA	NA
K02392	29	31	12	3	flagellar_basal-body_rod_protein_FlgG	cdf:CD630_02680,cdf:CD630_02690	Flagellar_assembly	NA	NA
K02396	30	34	39	3	flagellar_hook-associated_protein_1_FlgK	cdf:CD630_02310	Flagellar_assembly	NA	NA
K02397	40	44	56	4	flagellar_hook-associated_protein_3_FlgL	cdf:CD630_02320	Flagellar_assembly	NA	NA
K02398	22	19	31	4	negative_regulator_of_flagellin_synthesis_FlgM	cdf:CD630_02290	Flagellar_assembly	NA	NA
K02400	17	16	5	2	flagellar_biosynthesis_protein_FlhA	cdf:CD630_02630	Flagellar_assembly	NA	NA
K02404	13	12	4	2	flagellar_biosynthesis_protein_FlhF	cdf:CD630_02640	NA	NA	NA
K02405	12	10	4	2	RNA_polymerase_sigma_factor_for_flagellar_operon_FliA	cdf:CD630_02660	Two-component_system,Vibrio_cholerae_pathogenic_cycle	NA	NA
K02406	323	387	328	64	flagellin	cdf:CD630_02390	Two-component_system,Flagellar_assembly,Plant-pathogen_interaction,Salmonella_infection,Legionellosis	NA	NA
K02407	56	56	67	6	flagellar_hook-associated_protein_2	cdf:CD630_02370	Flagellar_assembly	NA	NA
K02408	15	13	13	4	flagellar_hook-basal_body_complex_protein_FliE	cdf:CD630_02470	Flagellar_assembly	NA	NA
K02409	21	20	13	3	flagellar_M-ring_protein_FliF	cdf:CD630_02480	Flagellar_assembly	NA	NA
K02410	20	20	11	4	flagellar_motor_switch_protein_FliG	cdf:CD630_02490	Bacterial_chemotaxis,Flagellar_assembly	NA	NA
K02411	22	24	11	3	flagellar_assembly_protein_FliH	cdf:CD630_02500	Flagellar_assembly	NA	NA
K02412	21	26	11	3	flagellum-specific_ATP_synthase_[EC:3.6.3.14]	cdf:CD630_02510	Flagellar_assembly	NA	NA
K02414	14	17	5	2	flagellar_hook-length_control_protein_FliK	cdf:CD630_02530	Flagellar_assembly	NA	NA
K02415	14	16	7	1	flagellar_FliL_protein	cdf:CD630_02580	NA	NA	NA
K02416	16	15	6	3	flagellar_motor_switch_protein_FliM	cdf:CD630_02700	Bacterial_chemotaxis,Flagellar_assembly	NA	NA
K02417	32	28	22	4	flagellar_motor_switch_protein_FliN/FliY	cdf:CD630_02280,cdf:CD630_02710	Bacterial_chemotaxis,Flagellar_assembly	NA	NA
K02419	18	20	9	5	flagellar_biosynthetic_protein_FliP	cdf:CD630_02600	Flagellar_assembly	NA	NA
K02420	17	18	5	2	flagellar_biosynthetic_protein_FliQ	cdf:CD630_02610	Flagellar_assembly	NA	NA
K02422	31	33	31	3	flagellar_protein_FliS	cdf:CD630_02350	Flagellar_assembly	NA	NA
K02437	26	68	95	7	glycine_cleavage_system_H_protein	cdf:CD630_07290	Glyoxylate_and_dicarboxylate_metabolism,Biosynthesis_of_secondary_metabolites	R01221	C00037=>C00014,C00037<=>C00014,C00037=>C00014+C00143
K02444	1	1	3	0	DeoR_family_transcriptional_regulator,_glycerol-3-phosphate_regulon_repressor	cdf:CD630_21110	NA	NA	NA
K02469	23	14	11	16	DNA_gyrase_subunit_A_[EC:5.99.1.3]	cdf:CD630_00060	NA	NA	NA
K02470	21	12	8	11	DNA_gyrase_subunit_B_[EC:5.99.1.3]	cdf:CD630_00050	NA	NA	NA
K02477	2	2	3	0	two-component_system,_LytT_family,_response_regulator	cdf:CD630_26010	NA	NA	NA
K02478	2	2	4	0	two-component_system,_LytT_family,_sensor_kinase_[EC:2.7.13.3]	cdf:CD630_26020	NA	NA	NA
K02493	7	4	3	4	release_factor_glutamine_methyltransferase_[EC:2.1.1.-]	cdf:CD630_34850	NA	NA	NA
K02495	10	7	9	2	oxygen-independent_coproporphyrinogen_III_oxidase_[EC:1.3.99.22]	cdf:CD630_24640,cdf:CD630_27410	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R06895	C03263=>C01079,C03263<=>C01079
K02499	25	18	14	5	tetrapyrrole_methylase_family_protein_/_MazG_family_protein	cdf:CD630_34970	NA	NA	NA
K02500	2	1	2	0	cyclase_[EC:4.1.3.-]	cdf:CD630_15530	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R04558	C04916=>C04666+C04677,C04916<=>C04666,C04916=>C04666
K02501	1	1	2	0	glutamine_amidotransferase_[EC:2.4.2.-]	cdf:CD630_15510	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R04558	C04916=>C04666+C04677,C04916<=>C04666,C04916=>C04666
K02502	1	0	1	0	ATP_phosphoribosyltransferase_regulatory_subunit	cdf:CD630_15470	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01071	C02739<=>C00119,C00119<=>C02739,C00119=>C02739
K02503	26	28	33	0	histidine_triad_(HIT)_family_protein	cdf:CD630_24470	NA	NA	NA
K02518	54	38	25	47	translation_initiation_factor_IF-1	cdf:CD630_00940	NA	NA	NA
K02519	27	23	21	14	translation_initiation_factor_IF-2	cdf:CD630_13090	NA	NA	NA
K02520	68	63	17	67	translation_initiation_factor_IF-3	cdf:CD630_06850	NA	NA	NA
K02526	22	24	13	17	2-keto-3-deoxygluconate_permease	cdf:CD630_28700,cdf:CD630_30040	NA	NA	NA
K02528	8	6	5	9	16S_rRNA_(adenine1518-N6/adenine1519-N6)-dimethyltransferase_[EC:2.1.1.182]	cdf:CD630_35230	NA	NA	NA
K02538	1	0	1	0	activator_of_the_mannose_operon,_transcriptional_antiterminator	cdf:CD630_01340	NA	NA	NA
K02547	7	1	2	0	methicillin_resistance_protein	cdf:CD630_04700	beta-Lactam_resistance	NA	NA
K02556	32	27	12	5	chemotaxis_protein_MotA	cdf:CD630_02560,cdf:CD630_07440	Two-component_system,Bacterial_chemotaxis,Flagellar_assembly	NA	NA
K02557	36	31	14	5	chemotaxis_protein_MotB	cdf:CD630_02570,cdf:CD630_07450	Bacterial_chemotaxis,Flagellar_assembly	NA	NA
K02563	15	25	27	4	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase_[EC:2.4.1.227]	cdf:CD630_26510	Peptidoglycan_biosynthesis,Metabolic_pathways,Cell_cycle_-_Caulobacter	R05032,R05662	C05897+C00043=>C05898,C04851=>C05893,C04851<=>C05893
K02564	23	5	13	0	glucosamine-6-phosphate_deaminase_[EC:3.5.99.6]	cdf:CD630_10110	Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00765	C00352=>C00085
K02594	1	0	1	0	homocitrate_synthase_NifV_[EC:2.3.3.14]	cdf:CD630_08320	Pyruvate_metabolism	R00271	C00026+C00024=>C01251,C00024=>C01251,C00024+C00026<=>C01251,C00026=>C01251
K02598	0	0	1	0	nitrite_transporter_NirC	cdf:CD630_22300	NA	NA	NA
K02600	18	15	11	9	N_utilization_substance_protein_A	cdf:CD630_13070	NA	NA	NA
K02601	97	57	36	35	transcriptional_antiterminator_NusG	cdf:CD630_00600	NA	NA	NA
K02619	4	4	3	0	4-amino-4-deoxychorismate_lyase_[EC:4.1.3.38]	cdf:CD630_14470	Folate_biosynthesis	R05553	C11355=>C00568
K02650	3	5	5	0	type_IV_pilus_assembly_protein_PilA	cdf:CD630_32940,cdf:CD630_35080	Two-component_system	NA	NA
K02653	3	5	5	0	type_IV_pilus_assembly_protein_PilC	cdf:CD630_32950,cdf:CD630_35110	NA	NA	NA
K02654	4	4	4	0	leader_peptidase_(prepilin_peptidase)_/_N-methyltransferase_[EC:3.4.23.43_2.1.1.-]	cdf:CD630_35040	NA	NA	NA
K02662	2	3	2	0	type_IV_pilus_assembly_protein_PilM	cdf:CD630_32930,cdf:CD630_35100	NA	NA	NA
K02663	0	2	1	0	type_IV_pilus_assembly_protein_PilN	cdf:CD630_32920	NA	NA	NA
K02669	4	5	4	0	twitching_motility_protein_PilT	cdf:CD630_35050	NA	NA	NA
K02687	5	4	4	1	ribosomal_protein_L11_methyltransferase_[EC:2.1.1.-]	cdf:CD630_24500	NA	NA	NA
K02749	0	12	2	0	PTS_system,_arbutin-like_IIB_component_[EC:2.7.1.69]	cdf:CD630_30610	Glycolysis_/_Gluconeogenesis,Phosphotransferase_system_(PTS)	R05132	C06186=>C06187
K02755	3	42	13	1	PTS_system,_beta-glucosides-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_03880,cdf:CD630_30970,cdf:CD630_31160,cdf:CD630_31250,cdf:CD630_31370	Phosphotransferase_system_(PTS)	NA	NA
K02756	0	0	0	0	PTS_system,_beta-glucosides-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_03880,cdf:CD630_30970,cdf:CD630_31160,cdf:CD630_31250,cdf:CD630_31270,cdf:CD630_31370	Phosphotransferase_system_(PTS)	NA	NA
K02759	16	12	20	6	PTS_system,_cellobiose-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_01350,cdf:CD630_28800,cdf:CD630_30800,cdf:CD630_36470	Phosphotransferase_system_(PTS)	NA	NA
K02760	21	21	38	2	PTS_system,_cellobiose-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_01360,cdf:CD630_16020,cdf:CD630_28840,cdf:CD630_30490,cdf:CD630_30820,cdf:CD630_34440,cdf:CD630_36480	Phosphotransferase_system_(PTS)	NA	NA
K02761	25	16	40	1	PTS_system,_cellobiose-specific_IIC_component	cdf:CD630_01370,cdf:CD630_08620,cdf:CD630_28830,cdf:CD630_30480,cdf:CD630_30810,cdf:CD630_34430,cdf:CD630_36450	Phosphotransferase_system_(PTS)	NA	NA
K02763	0	2	1	0	PTS_system,_D-glucosamine-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_26660,cdf:CD630_26670	Amino_sugar_and_nucleotide_sugar_metabolism,Phosphotransferase_system_(PTS)	R02631	C00329<=>C00352
K02768	10	32	108	2	PTS_system,_fructose-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_02060,cdf:CD630_22690,cdf:CD630_25660,cdf:CD630_30150,cdf:CD630_31340	Fructose_and_mannose_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R03232	C00095=>C01094,C00095<=>C01094
K02769	13	13	31	5	PTS_system,_fructose-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_22690,cdf:CD630_25670,cdf:CD630_30140,cdf:CD630_30750,cdf:CD630_31340	Fructose_and_mannose_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R03232	C00095=>C01094,C00095<=>C01094
K02770	1	10	30	0	PTS_system,_fructose-specific_IIC_component	cdf:CD630_22690,cdf:CD630_25680,cdf:CD630_30130,cdf:CD630_30750,cdf:CD630_31340	Fructose_and_mannose_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R03232	C00095=>C01094,C00095<=>C01094
K02773	4	3	39	0	PTS_system,_galactitol-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_00410,cdf:CD630_23270	Galactose_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R05570	C01697=>C06311,C01697<=>C06311
K02774	11	17	61	0	PTS_system,_galactitol-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_00420,cdf:CD630_10830,cdf:CD630_22810,cdf:CD630_23260	Galactose_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R05570	C01697=>C06311,C01697<=>C06311
K02775	10	14	97	0	PTS_system,_galactitol-specific_IIC_component	cdf:CD630_00430,cdf:CD630_22800,cdf:CD630_23250	Galactose_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R05570	C01697=>C06311,C01697<=>C06311
K02777	1	7	3	0	PTS_system,_glucose-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_25120,cdf:CD630_30270,cdf:CD630_31030	Glycolysis_/_Gluconeogenesis,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Phosphotransferase_system_(PTS)	R02738,R02780,R04111,R04394,R05132,R08559	C00031=>C00668,C00031<=>C00668,C01083=>C00689,C00208=>C02995,C01451=>C06188,C06186=>C06187,C02713=>C16698
K02781	1	0	14	0	PTS_system,_glucitol/sorbitol-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_07670,cdf:CD630_24140	Fructose_and_mannose_metabolism,Phosphotransferase_system_(PTS)	R05820	C00794=>C01096
K02782	2	0	18	0	PTS_system,_glucitol/sorbitol-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_07650,cdf:CD630_24170	Fructose_and_mannose_metabolism,Phosphotransferase_system_(PTS)	R05820	C00794=>C01096
K02783	2	0	39	0	PTS_system,_glucitol/sorbitol-specific_IIC_component	cdf:CD630_07640,cdf:CD630_07660,cdf:CD630_24170,cdf:CD630_24180	Fructose_and_mannose_metabolism,Phosphotransferase_system_(PTS)	R05820	C00794=>C01096
K02790	1	6	2	0	PTS_system,_maltose_and_glucose-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_13360,cdf:CD630_25100,cdf:CD630_30300	Glycolysis_/_Gluconeogenesis,Starch_and_sucrose_metabolism,Phosphotransferase_system_(PTS)	R04111	C00208=>C02995
K02793	25	34	33	5	PTS_system,_mannose-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_02840,cdf:CD630_04910,cdf:CD630_10740,cdf:CD630_30670,cdf:CD630_32780	Fructose_and_mannose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R02630	C00159=>C00275,C00159<=>C00275
K02794	23	30	31	4	PTS_system,_mannose-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_04920,cdf:CD630_10760,cdf:CD630_30680,cdf:CD630_32790	Fructose_and_mannose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R02630	C00159=>C00275,C00159<=>C00275
K02795	14	33	40	2	PTS_system,_mannose-specific_IIC_component	cdf:CD630_04930,cdf:CD630_10770,cdf:CD630_30700,cdf:CD630_32770	Fructose_and_mannose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R02630	C00159=>C00275,C00159<=>C00275
K02796	24	43	52	1	PTS_system,_mannose-specific_IID_component	cdf:CD630_04940,cdf:CD630_10780,cdf:CD630_30690,cdf:CD630_32760	Fructose_and_mannose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Phosphotransferase_system_(PTS)	R02630	C00159=>C00275,C00159<=>C00275
K02798	77	0	25	8	PTS_system,_mannitol-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_23320	Fructose_and_mannose_metabolism,Phosphotransferase_system_(PTS)	R02704	C00392=>C00644
K02799	51	1	21	2	PTS_system,_mannitol-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_23340	Fructose_and_mannose_metabolism,Phosphotransferase_system_(PTS)	R02704	C00392=>C00644
K02803	147	327	285	9	PTS_system,_N-acetylglucosamine-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_30890	Amino_sugar_and_nucleotide_sugar_metabolism,Phosphotransferase_system_(PTS)	R05199	C00140=>C00357
K02806	2	1	3	0	PTS_system,_nitrogen_regulatory_IIA_component_[EC:2.7.1.69]	cdf:CD630_24880	Phosphotransferase_system_(PTS)	NA	NA
K02808	0	0	0	0	PTS_system,_sucrose-specific_IIA_component_[EC:2.7.1.69]	cdf:CD630_04690	Starch_and_sucrose_metabolism,Phosphotransferase_system_(PTS)	R00811	C00089=>C16688
K02822	1	17	13	0	PTS_system,_ascorbate-specific_IIB_component_[EC:2.7.1.69]	cdf:CD630_25550,cdf:CD630_36300	Ascorbate_and_aldarate_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Phosphotransferase_system_(PTS)	R07671	C00072=>C16186,C00072<=>C16186
K02823	4	2	2	1	dihydroorotate_dehydrogenase_electron_transfer_subunit	cdf:CD630_01850	NA	NA	NA
K02825	2	1	1	0	pyrimidine_operon_attenuation_protein_/_uracil_phosphoribosyltransferase_[EC:2.4.2.9]	cdf:CD630_25950	Pyrimidine_metabolism,Metabolic_pathways	R00966	C00105<=>C00106,C00106<=>C00105
K02834	19	26	18	2	ribosome-binding_factor_A	cdf:CD630_13100	NA	NA	NA
K02835	11	11	8	45	peptide_chain_release_factor_1	cdf:CD630_34840	NA	NA	NA
K02836	19	15	14	3	peptide_chain_release_factor_2	cdf:CD630_01440	NA	NA	NA
K02838	36	26	42	17	ribosome_recycling_factor	cdf:CD630_21370	NA	NA	NA
K02860	10	5	4	1	16S_rRNA_processing_protein_RimM	cdf:CD630_12550	NA	NA	NA
K02863	134	97	57	831	large_subunit_ribosomal_protein_L1	cdf:CD630_00620	Ribosome	NA	NA
K02864	164	108	65	368	large_subunit_ribosomal_protein_L10	cdf:CD630_00630	Ribosome	NA	NA
K02867	92	64	39	180	large_subunit_ribosomal_protein_L11	cdf:CD630_00610	Ribosome	NA	NA
K02871	96	75	33	182	large_subunit_ribosomal_protein_L13	cdf:CD630_01040	Ribosome	NA	NA
K02874	111	65	33	522	large_subunit_ribosomal_protein_L14	cdf:CD630_00820	Ribosome	NA	NA
K02876	125	85	45	90	large_subunit_ribosomal_protein_L15	cdf:CD630_00890	Ribosome	NA	NA
K02878	97	60	30	197	large_subunit_ribosomal_protein_L16	cdf:CD630_00800	Ribosome	NA	NA
K02879	126	69	52	862	large_subunit_ribosomal_protein_L17	cdf:CD630_00990	Ribosome	NA	NA
K02881	115	71	42	281	large_subunit_ribosomal_protein_L18	cdf:CD630_00870	Ribosome	NA	NA
K02884	58	46	23	505	large_subunit_ribosomal_protein_L19	cdf:CD630_12570	Ribosome	NA	NA
K02886	136	96	38	367	large_subunit_ribosomal_protein_L2	cdf:CD630_00760	Ribosome	NA	NA
K02887	93	76	33	317	large_subunit_ribosomal_protein_L20	cdf:CD630_06870	Ribosome	NA	NA
K02888	87	66	49	127	large_subunit_ribosomal_protein_L21	cdf:CD630_11610	Ribosome	NA	NA
K02890	100	65	23	506	large_subunit_ribosomal_protein_L22	cdf:CD630_00780	Ribosome	NA	NA
K02892	109	75	26	139	large_subunit_ribosomal_protein_L23	cdf:CD630_00750	Ribosome	NA	NA
K02899	134	103	76	915	large_subunit_ribosomal_protein_L27	cdf:CD630_11630	Ribosome	NA	NA
K02902	53	32	21	125	large_subunit_ribosomal_protein_L28	cdf:CD630_25621	Ribosome	NA	NA
K02904	80	57	26	135	large_subunit_ribosomal_protein_L29	cdf:CD630_00801	Ribosome	NA	NA
K02906	153	119	39	242	large_subunit_ribosomal_protein_L3	cdf:CD630_00730	Ribosome	NA	NA
K02907	83	57	29	106	large_subunit_ribosomal_protein_L30	cdf:CD630_00881	Ribosome	NA	NA
K02909	87	46	26	13	large_subunit_ribosomal_protein_L31	cdf:CD630_34861	Ribosome	NA	NA
K02911	59	40	26	516	large_subunit_ribosomal_protein_L32	cdf:CD630_11761	Ribosome	NA	NA
K02913	34	28	15	53	large_subunit_ribosomal_protein_L33	cdf:CD630_00581	Ribosome	NA	NA
K02914	30	21	15	23	large_subunit_ribosomal_protein_L34	cdf:CD630_36800	Ribosome	NA	NA
K02916	51	46	20	28	large_subunit_ribosomal_protein_L35	cdf:CD630_06860	Ribosome	NA	NA
K02919	39	25	16	35	large_subunit_ribosomal_protein_L36	cdf:CD630_00941	Ribosome	NA	NA
K02931	126	80	39	68	large_subunit_ribosomal_protein_L5	cdf:CD630_00840	Ribosome	NA	NA
K02933	126	74	40	338	large_subunit_ribosomal_protein_L6	cdf:CD630_00860	Ribosome	NA	NA
K02935	147	93	71	531	large_subunit_ribosomal_protein_L7/L12	cdf:CD630_00640	Ribosome	NA	NA
K02939	17	15	11	5	large_subunit_ribosomal_protein_L9	cdf:CD630_36580	Ribosome	NA	NA
K02945	18	18	13	3	small_subunit_ribosomal_protein_S1	cdf:CD630_09860	Ribosome	NA	NA
K02946	95	80	27	387	small_subunit_ribosomal_protein_S10	cdf:CD630_00720	Ribosome	NA	NA
K02948	117	71	50	499	small_subunit_ribosomal_protein_S11	cdf:CD630_00960	Ribosome	NA	NA
K02950	142	113	45	1089	small_subunit_ribosomal_protein_S12	cdf:CD630_00680	Ribosome	NA	NA
K02952	91	58	35	182	small_subunit_ribosomal_protein_S13	cdf:CD630_00950	Ribosome	NA	NA
K02954	49	34	16	244	small_subunit_ribosomal_protein_S14	cdf:CD630_00841	Ribosome	NA	NA
K02956	109	111	56	133	small_subunit_ribosomal_protein_S15	cdf:CD630_13160	Ribosome	NA	NA
K02959	50	37	28	93	small_subunit_ribosomal_protein_S16	cdf:CD630_12530	Ribosome	NA	NA
K02961	88	50	22	24	small_subunit_ribosomal_protein_S17	cdf:CD630_00810	Ribosome	NA	NA
K02963	138	88	48	331	small_subunit_ribosomal_protein_S18	cdf:CD630_36611	Ribosome	NA	NA
K02965	113	84	31	448	small_subunit_ribosomal_protein_S19	cdf:CD630_00770	Ribosome	NA	NA
K02967	82	65	25	806	small_subunit_ribosomal_protein_S2	cdf:CD630_21400	Ribosome	NA	NA
K02968	74	39	21	276	small_subunit_ribosomal_protein_S20	cdf:CD630_24730	Ribosome	NA	NA
K02970	69	81	38	204	small_subunit_ribosomal_protein_S21	cdf:CD630_24461	Ribosome	NA	NA
K02982	130	80	37	286	small_subunit_ribosomal_protein_S3	cdf:CD630_00790	Ribosome	NA	NA
K02986	136	88	61	572	small_subunit_ribosomal_protein_S4	cdf:CD630_00970	Ribosome	NA	NA
K02988	110	71	36	208	small_subunit_ribosomal_protein_S5	cdf:CD630_00880	Ribosome	NA	NA
K02990	123	89	41	29	small_subunit_ribosomal_protein_S6	cdf:CD630_36630	Ribosome	NA	NA
K02992	135	102	43	108	small_subunit_ribosomal_protein_S7	cdf:CD630_00690	Ribosome	NA	NA
K02994	115	71	39	486	small_subunit_ribosomal_protein_S8	cdf:CD630_00850	Ribosome	NA	NA
K02996	110	74	37	841	small_subunit_ribosomal_protein_S9	cdf:CD630_01050	Ribosome	NA	NA
